Name,Description,Category,Priority,Due Date,Done
Buy groceries,Milk eggs bread and vegetables,Shopping,Low,15/03/2026,No
Prepare Q1 report,Compile sales figures and write executive summary,Work,High,14/03/2026,No
Schedule dentist appointment,Call Dr Smith for routine checkup,Health,Medium,20/03/2026,No
Pay electricity bill,Online payment via bank portal,Finance,High,13/03/2026,No
Call mom,Weekly catch-up call,Personal,Low,16/03/2026,No
Review pull request #47,Frontend refactor needs thorough code review,Work,High,13/03/2026,No
Buy birthday gift for Sara,She likes books and candles,Shopping,Medium,18/03/2026,No
Morning run 5km,Stick to the training schedule,Health,Medium,13/03/2026,No
Update LinkedIn profile,Add recent projects and skills,Work,Low,30/03/2026,No
Pay rent,Bank transfer to landlord,Finance,High,01/04/2026,No
Book flights for Easter,Check Ryanair and Wizz Air prices,Personal,Medium,20/03/2026,No
Team standup preparation,Prepare blockers and progress updates,Work,Medium,14/03/2026,No
Renew car insurance,Compare quotes on Comparethemarket,Finance,High,25/03/2026,No
Clean the apartment,Full clean including windows and bathroom,Personal,Low,21/03/2026,No
Submit tax return,Gather all receipts and submit via portal,Finance,High,31/03/2026,No
Read Clean Code chapter 5,Software design principles,Work,Low,28/03/2026,No
Buy new running shoes,Nike or Asics size 43,Shopping,Low,25/03/2026,No
Meditation 15 minutes,Morning mindfulness session,Health,Low,13/03/2026,No
Prepare presentation slides,Quarterly review deck for management,Work,High,17/03/2026,No
Order new monitor,Dell 27 inch for home office setup,Shopping,Medium,22/03/2026,No
Call bank about mortgage,Ask about fixed rate remortgage options,Finance,Medium,19/03/2026,No
Plan weekend trip,Look into Krakow or Prague for April,Personal,Low,05/04/2026,No
Write unit tests,Cover the new authentication module,Work,High,15/03/2026,No
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,17/03/2026,No
Grocery order online,Delivery for Thursday morning slot,Shopping,Low,13/03/2026,No
Invest in ETF,Monthly contribution to index fund,Finance,Medium,28/03/2026,No
Fix leaking tap,Buy washer from hardware store,Personal,Medium,23/03/2026,No
Deploy to staging,Push latest build and run smoke tests,Work,High,13/03/2026,No
Buy vitamins D3 and B12,Restock monthly supplement supply,Health,Low,20/03/2026,No
Cancel unused subscriptions,Adobe and old gym membership,Finance,Medium,16/03/2026,No
Haircut appointment,Book at the usual barber on Main St,Personal,Low,19/03/2026,No
Document API endpoints,Swagger docs for the new REST API,Work,Medium,26/03/2026,No
Buy coffee beans,1kg dark roast from the local roaster,Shopping,Low,15/03/2026,No
30 min yoga session,Follow the YouTube routine,Health,Low,14/03/2026,No
Check pension statement,Log in and review annual statement,Finance,Low,31/03/2026,No
Declutter wardrobe,Donate old clothes to charity shop,Personal,Low,28/03/2026,No
Fix broken unit tests,Three tests failing after last merge,Work,High,14/03/2026,No
Buy new notebook,A5 dotted Leuchtturm for journaling,Shopping,Low,22/03/2026,No
Book eye test,Overdue by 6 months,Health,High,18/03/2026,No
Prepare monthly budget,Review March spending and plan April,Finance,Medium,31/03/2026,No
